Attendance_ID,Staff_ID,Attendance_Date,Status,Shift,Location_ID
AT00052,S0073,2024-06-12,Absent,Afternoon,L002
AT00053,S0268,2024-08-12,Present,Night,L001
AT00054,S0189,2024-10-14,Sick,Night,L002
AT00055,S0414,2024-09-07,Leave,Night,L004
AT00056,S0039,2025-04-29,Leave,Morning,L002
AT00057,S0453,2025-01-30,Present,Morning,L004
AT00058,S0224,2025-01-29,Leave,Afternoon,L004
AT00059,S0334,2024-07-23,Leave,Afternoon,L004
AT00060,S0092,2024-09-29,Leave,Night,L001
AT00061,S0183,2025-01-27,Sick,Night,L003
AT00062,S0022,2024-09-01,Absent,Afternoon,L001
AT00063,S0221,2025-05-08,Absent,Night,L002
AT00064,S0321,2024-07-07,Absent,Afternoon,L005
AT00065,S0284,2024-08-28,Sick,Morning,L003
AT00066,S0255,2024-08-30,Sick,Afternoon,L005
AT00067,S0181,2024-11-19,Present,Night,L002
AT00068,S0045,2025-02-07,Absent,Morning,L003
AT00069,S0147,2024-11-16,Leave,Afternoon,L004
AT00070,S0390,2024-12-05,Present,Night,L005
AT00071,S0193,2025-04-07,Sick,Night,L003
AT00072,S0195,2025-04-20,Present,Afternoon,L003
AT00073,S0343,2025-04-20,Sick,Night,L003
AT00074,S0399,2024-10-09,Leave,Afternoon,L003
AT00075,S0305,2024-07-10,Present,Morning,L002
AT00076,S0176,2024-10-28,Present,Morning,L005
AT00077,S0219,2025-02-03,Leave,Morning,L002
AT00078,S0239,2025-05-20,Present,Night,L005
AT00079,S0069,2025-01-12,Present,Night,L005
AT00080,S0413,2025-05-23,Present,Afternoon,L004
AT00081,S0092,2024-11-16,Absent,Morning,L005
AT00082,S0417,2024-10-11,Present,Afternoon,L004
AT00083,S0219,2024-09-28,Absent,Morning,L005
AT00084,S0304,2024-07-01,Absent,Morning,L002
AT00085,S0143,2024-08-19,Leave,Morning,L004
AT00086,S0220,2025-01-14,Present,Night,L003
AT00087,S0077,2024-10-05,Sick,Night,L002
AT00088,S0105,2024-06-24,Present,Night,L002
AT00089,S0312,2025-03-26,Sick,Night,L005
AT00090,S0478,2024-07-09,Absent,Morning,L003
AT00091,S0443,2024-12-05,Leave,Afternoon,L002
AT00092,S0248,2024-06-29,Present,Morning,L002
AT00093,S0339,2025-02-28,Present,Morning,L005
AT00094,S0020,2025-02-21,Leave,Afternoon,L005
AT00095,S0232,2025-03-30,Absent,Morning,L004
AT00096,S0223,2025-04-10,Leave,Morning,L001
AT00097,S0364,2024-08-31,Sick,Afternoon,L003
AT00098,S0234,2024-10-10,Sick,Afternoon,L002
AT00099,S0262,2024-10-30,Leave,Night,L002
AT00100,S0297,2024-12-23,Absent,Afternoon,L004
AT00101,S0208,2024-10-05,Present,Morning,L002
AT00102,S0175,2024-12-22,Present,Afternoon,L004
AT00103,S0032,2024-11-04,Absent,Morning,L005
AT00104,S0112,2024-11-23,Leave,Morning,L001
AT00105,S0121,2024-08-21,Present,Morning,L003
AT00106,S0246,2025-02-03,Absent,Morning,L001
AT00107,S0155,2025-05-26,Leave,Morning,L004
AT00108,S0500,2024-09-13,Sick,Afternoon,L003
AT00109,S0152,2024-10-06,Leave,Morning,L002
AT00110,S0150,2025-01-01,Absent,Night,L002
AT00111,S0387,2025-04-23,Sick,Afternoon,L004
AT00112,S0047,2025-01-11,Sick,Morning,L005
AT00113,S0195,2024-11-17,Absent,Afternoon,L005
AT00114,S0281,2024-10-09,Present,Night,L005
AT00115,S0456,2025-05-09,Present,Night,L005
AT00116,S0104,2024-08-05,Leave,Morning,L002
AT00117,S0099,2024-07-23,Sick,Night,L003
AT00118,S0298,2024-05-29,Present,Night,L003
AT00119,S0428,2025-04-01,Leave,Morning,L003
AT00120,S0459,2024-10-01,Sick,Morning,L002
AT00121,S0347,2024-06-22,Present,Afternoon,L003
AT00122,S0498,2024-10-04,Absent,Afternoon,L001
AT00123,S0148,2024-10-20,Leave,Night,L003
AT00124,S0202,2024-07-20,Absent,Afternoon,L001
AT00125,S0459,2024-08-20,Present,Night,L005
AT00126,S0247,2024-07-30,Present,Afternoon,L004
AT00127,S0390,2025-05-25,Sick,Night,L002
AT00128,S0133,2024-06-28,Leave,Afternoon,L003
AT00129,S0492,2024-07-21,Present,Afternoon,L002
AT00130,S0267,2024-06-01,Sick,Afternoon,L002
AT00131,S0047,2024-12-14,Absent,Morning,L002
AT00132,S0072,2024-10-15,Leave,Afternoon,L002
AT00133,S0104,2025-03-01,Present,Night,L005
AT00134,S0375,2024-09-11,Sick,Morning,L002
AT00135,S0262,2024-12-25,Present,Morning,L004
AT00136,S0149,2024-08-04,Sick,Night,L004
AT00137,S0420,2024-12-03,Present,Night,L005
AT00138,S0443,2024-06-16,Present,Afternoon,L002
AT00139,S0207,2024-11-02,Absent,Night,L004
AT00140,S0060,2025-02-16,Absent,Morning,L005
AT00141,S0168,2024-08-15,Leave,Afternoon,L005
AT00142,S0098,2025-02-08,Leave,Afternoon,L004
AT00143,S0478,2025-05-10,Absent,Afternoon,L004
AT00144,S0117,2024-10-29,Sick,Night,L001
AT00145,S0141,2024-10-22,Absent,Afternoon,L004
AT00146,S0117,2025-05-26,Leave,Afternoon,L002
AT00147,S0499,2025-05-25,Sick,Morning,L005
AT00148,S0181,2024-10-22,Present,Morning,L003
AT00149,S0259,2024-06-30,Sick,Night,L003
AT00150,S0031,2024-09-30,Present,Night,L001
AT00151,S0423,2025-01-06,Absent,Morning,L001
AT00152,S0105,2024-07-13,Leave,Morning,L005
AT00153,S0198,2025-02-24,Present,Night,L005
AT00154,S0294,2025-05-01,Present,Morning,L005
AT00155,S0395,2024-11-16,Absent,Night,L004
AT00156,S0259,2024-08-10,Present,Morning,L002
AT00157,S0298,2024-11-18,Sick,Night,L001
AT00158,S0328,2024-07-08,Absent,Afternoon,L005
AT00159,S0132,2025-02-19,Present,Morning,L005
AT00160,S0101,2025-02-26,Absent,Afternoon,L003
AT00161,S0222,2025-01-18,Present,Night,L002
AT00162,S0375,2025-01-25,Absent,Night,L004
AT00163,S0367,2025-02-14,Sick,Night,L005
AT00164,S0107,2025-01-20,Present,Morning,L001
AT00165,S0333,2025-01-29,Sick,Morning,L005
AT00166,S0232,2024-12-26,Present,Night,L005
AT00167,S0231,2024-11-18,Present,Afternoon,L002
AT00168,S0135,2025-05-05,Leave,Afternoon,L001
AT00169,S0119,2024-11-12,Present,Afternoon,L005
AT00170,S0200,2024-07-10,Present,Afternoon,L005
AT00171,S0489,2024-10-15,Sick,Morning,L004
AT00172,S0073,2025-04-14,Present,Afternoon,L004
AT00173,S0257,2024-11-26,Present,Night,L001
AT00174,S0291,2024-09-04,Present,Morning,L005
AT00175,S0107,2025-02-03,Absent,Night,L001
AT00176,S0141,2024-10-03,Absent,Night,L004
AT00177,S0378,2025-01-22,Absent,Afternoon,L004
AT00178,S0047,2025-05-01,Sick,Night,L005
AT00179,S0145,2024-10-06,Leave,Morning,L002
AT00180,S0405,2025-01-31,Sick,Night,L005
AT00181,S0168,2024-09-24,Sick,Morning,L004
AT00182,S0255,2025-05-12,Absent,Afternoon,L001
AT00183,S0122,2025-05-25,Leave,Afternoon,L001
AT00184,S0426,2025-04-03,Absent,Afternoon,L002
AT00185,S0004,2024-12-05,Absent,Night,L005
AT00186,S0410,2024-06-07,Present,Afternoon,L002
AT00187,S0002,2024-09-02,Leave,Morning,L004
AT00188,S0150,2024-10-14,Leave,Afternoon,L001
AT00189,S0459,2024-10-09,Present,Night,L004
AT00190,S0093,2025-03-29,Leave,Night,L003
AT00191,S0268,2025-05-17,Sick,Afternoon,L002
AT00192,S0322,2024-11-12,Absent,Afternoon,L003
AT00193,S0088,2025-03-28,Sick,Night,L001
AT00194,S0100,2025-02-03,Present,Night,L001
AT00195,S0297,2025-01-30,Present,Morning,L003
AT00196,S0330,2025-03-22,Present,Afternoon,L002
AT00197,S0315,2025-03-28,Leave,Night,L003
AT00198,S0393,2024-08-04,Present,Morning,L003
AT00199,S0153,2024-10-19,Present,Afternoon,L001
AT00200,S0377,2024-06-21,Sick,Afternoon,L002
AT00201,S0023,2024-07-02,Sick,Morning,L004
AT00202,S0446,2025-04-21,Present,Night,L001
AT00203,S0256,2025-02-07,Present,Morning,L004
AT00204,S0312,2025-05-08,Sick,Morning,L001
AT00205,S0341,2025-02-14,Absent,Morning,L005
AT00206,S0249,2024-10-27,Leave,Afternoon,L003
AT00207,S0007,2025-04-13,Present,Night,L001
AT00208,S0466,2025-04-16,Leave,Morning,L004
AT00209,S0021,2024-09-02,Sick,Afternoon,L003
AT00210,S0443,2025-03-12,Present,Morning,L001
AT00211,S0362,2025-04-27,Absent,Morning,L001
AT00212,S0227,2024-08-28,Present,Morning,L005
AT00213,S0034,2024-11-14,Leave,Night,L003
AT00214,S0144,2024-11-12,Leave,Morning,L001
AT00215,S0169,2024-10-07,Leave,Morning,L003
AT00216,S0439,2025-02-25,Leave,Morning,L001
AT00217,S0283,2024-09-28,Sick,Morning,L005
AT00218,S0179,2025-05-10,Absent,Night,L001
AT00219,S0230,2025-03-26,Present,Afternoon,L001
AT00220,S0229,2025-02-14,Absent,Morning,L005
AT00221,S0434,2025-01-20,Sick,Night,L004
AT00222,S0231,2024-11-04,Leave,Afternoon,L004
AT00223,S0068,2024-10-24,Sick,Night,L004
AT00224,S0420,2024-06-28,Leave,Morning,L005
AT00225,S0310,2024-10-30,Present,Afternoon,L002
AT00226,S0236,2025-01-03,Absent,Afternoon,L004
AT00227,S0274,2025-05-15,Leave,Night,L003
AT00228,S0372,2024-05-31,Sick,Morning,L004
AT00229,S0255,2024-12-18,Present,Night,L002
AT00230,S0369,2025-04-14,Sick,Afternoon,L004
AT00231,S0328,2024-08-29,Sick,Night,L002
AT00232,S0119,2024-09-26,Absent,Morning,L004
AT00233,S0254,2025-01-22,Leave,Afternoon,L002
AT00234,S0257,2024-06-09,Present,Morning,L002
AT00235,S0049,2024-07-30,Leave,Morning,L003
AT00236,S0114,2024-07-26,Sick,Morning,L002
AT00237,S0460,2025-03-01,Sick,Afternoon,L003
AT00238,S0430,2025-05-26,Absent,Night,L003
AT00239,S0124,2024-08-10,Absent,Afternoon,L004
AT00240,S0200,2025-02-07,Present,Afternoon,L004
AT00241,S0083,2025-05-26,Sick,Afternoon,L002
AT00242,S0037,2025-03-14,Sick,Night,L004
AT00243,S0339,2024-10-09,Absent,Afternoon,L004
AT00244,S0031,2024-10-23,Present,Morning,L005
AT00245,S0271,2024-09-20,Leave,Morning,L001
AT00246,S0252,2025-03-10,Present,Afternoon,L002
AT00247,S0250,2024-08-17,Present,Morning,L005
AT00248,S0194,2025-01-30,Present,Morning,L005
AT00249,S0108,2024-10-24,Leave,Morning,L005
AT00250,S0293,2025-02-08,Leave,Morning,L004
AT00251,S0426,2024-12-31,Absent,Night,L002
AT00252,S0412,2024-06-12,Absent,Morning,L001
AT00253,S0068,2024-10-09,Leave,Night,L005
AT00254,S0359,2024-11-28,Present,Night,L003
AT00255,S0102,2024-08-05,Present,Night,L002
AT00256,S0479,2024-11-12,Leave,Night,L005
AT00257,S0135,2024-10-23,Absent,Morning,L003
AT00258,S0467,2025-01-10,Absent,Morning,L004
AT00259,S0439,2024-06-28,Absent,Morning,L002
AT00260,S0304,2024-07-21,Absent,Night,L004
AT00261,S0137,2024-08-21,Leave,Night,L001
AT00262,S0277,2024-10-02,Absent,Night,L003
AT00263,S0332,2025-01-11,Absent,Morning,L003
AT00264,S0380,2024-09-11,Sick,Afternoon,L001
AT00265,S0373,2025-01-15,Absent,Night,L004
AT00266,S0004,2025-01-12,Sick,Morning,L002
AT00267,S0386,2024-12-23,Sick,Afternoon,L003
AT00268,S0120,2024-10-23,Present,Morning,L005
AT00269,S0274,2025-05-10,Absent,Night,L005
AT00270,S0077,2024-09-01,Present,Night,L003
AT00271,S0263,2024-10-21,Present,Afternoon,L003
AT00272,S0192,2024-07-03,Absent,Morning,L003
AT00273,S0268,2025-04-30,Present,Morning,L005
AT00274,S0342,2024-08-22,Present,Afternoon,L001
AT00275,S0308,2025-03-10,Sick,Night,L004
AT00276,S0254,2024-11-26,Absent,Afternoon,L002
AT00277,S0146,2024-09-09,Present,Morning,L004
AT00278,S0347,2024-07-24,Present,Afternoon,L002
AT00279,S0377,2024-09-14,Absent,Night,L005
AT00280,S0440,2024-08-31,Present,Afternoon,L003
AT00281,S0210,2025-04-24,Leave,Morning,L002
AT00282,S0273,2024-10-30,Leave,Afternoon,L004
AT00283,S0393,2024-11-23,Present,Afternoon,L003
AT00284,S0384,2024-12-18,Leave,Night,L002
AT00285,S0417,2024-11-19,Sick,Night,L003
AT00286,S0431,2025-04-01,Leave,Morning,L004
AT00287,S0440,2024-12-24,Absent,Morning,L004
AT00288,S0335,2024-10-12,Leave,Night,L001
AT00289,S0400,2025-01-22,Leave,Afternoon,L002
AT00290,S0270,2024-12-31,Absent,Afternoon,L001
AT00291,S0373,2025-02-20,Leave,Afternoon,L005
AT00292,S0401,2024-07-02,Absent,Night,L001
AT00293,S0351,2025-05-18,Present,Morning,L001
AT00294,S0424,2025-02-05,Present,Night,L005
AT00295,S0017,2024-11-04,Leave,Night,L002
AT00296,S0299,2024-06-01,Present,Night,L004
AT00297,S0237,2025-01-24,Sick,Night,L004
AT00298,S0264,2024-08-03,Leave,Morning,L005
AT00299,S0055,2024-11-08,Sick,Morning,L004
AT00300,S0292,2024-10-09,Absent,Night,L003
AT00301,S0194,2025-04-11,Leave,Afternoon,L003
AT00302,S0193,2024-06-06,Sick,Morning,L005
AT00303,S0461,2024-12-29,Present,Morning,L004
AT00304,S0245,2024-06-18,Present,Night,L002
AT00305,S0424,2024-12-27,Leave,Morning,L004
AT00306,S0123,2025-05-21,Absent,Morning,L001
AT00307,S0474,2025-03-26,Sick,Afternoon,L004
AT00308,S0236,2025-01-06,Absent,Morning,L005
AT00309,S0394,2024-07-03,Absent,Morning,L005
AT00310,S0108,2024-08-13,Absent,Afternoon,L005
AT00311,S0315,2024-11-18,Sick,Afternoon,L002
AT00312,S0337,2024-10-16,Sick,Night,L001
AT00313,S0344,2024-08-03,Sick,Afternoon,L001
AT00314,S0343,2024-12-06,Absent,Night,L003
AT00315,S0055,2024-09-24,Leave,Afternoon,L005
AT00316,S0392,2025-04-23,Leave,Night,L004
AT00317,S0296,2024-09-11,Sick,Morning,L003
AT00318,S0045,2025-02-05,Leave,Afternoon,L001
AT00319,S0494,2025-01-29,Absent,Afternoon,L003
AT00320,S0346,2025-03-09,Present,Night,L003
AT00321,S0292,2024-08-26,Present,Night,L004
AT00322,S0060,2025-04-27,Leave,Night,L004
AT00323,S0253,2025-03-27,Present,Morning,L005
AT00324,S0159,2024-08-04,Sick,Morning,L004
AT00325,S0419,2024-10-25,Sick,Night,L001
AT00326,S0337,2025-02-01,Absent,Night,L003
AT00327,S0476,2024-11-15,Absent,Morning,L004
AT00328,S0377,2024-08-20,Sick,Afternoon,L002
AT00329,S0420,2024-07-22,Absent,Night,L005
AT00330,S0256,2024-06-20,Absent,Morning,L004
AT00331,S0271,2024-08-27,Absent,Night,L003
AT00332,S0101,2025-05-21,Absent,Afternoon,L003
AT00333,S0050,2024-09-02,Leave,Afternoon,L002
AT00334,S0357,2024-07-22,Present,Afternoon,L004
AT00335,S0461,2025-02-02,Absent,Night,L002
AT00336,S0257,2025-02-10,Leave,Morning,L004
AT00337,S0402,2025-03-14,Leave,Night,L001
AT00338,S0170,2024-07-12,Sick,Night,L002
AT00339,S0018,2025-02-21,Sick,Afternoon,L003
AT00340,S0284,2025-01-10,Present,Morning,L002
AT00341,S0247,2025-04-10,Leave,Morning,L004
AT00342,S0151,2024-09-16,Sick,Night,L002
AT00343,S0447,2024-06-12,Leave,Morning,L005
AT00344,S0100,2024-11-04,Present,Afternoon,L001
AT00345,S0224,2025-03-23,Leave,Night,L001
AT00346,S0284,2025-04-28,Leave,Night,L003
AT00347,S0155,2025-02-10,Leave,Afternoon,L003
AT00348,S0127,2025-03-11,Absent,Night,L001
AT00349,S0319,2024-11-05,Sick,Night,L005
AT00350,S0407,2025-01-10,Leave,Afternoon,L004
AT00351,S0449,2024-07-21,Sick,Afternoon,L002
AT00352,S0394,2024-10-27,Present,Morning,L002
AT00353,S0492,2025-01-18,Leave,Night,L004
AT00354,S0420,2025-04-04,Sick,Morning,L002
AT00355,S0020,2025-04-05,Sick,Afternoon,L001
AT00356,S0276,2024-09-17,Present,Afternoon,L004
AT00357,S0169,2024-12-03,Leave,Afternoon,L003
AT00358,S0065,2025-05-20,Sick,Morning,L004
AT00359,S0275,2024-08-07,Absent,Night,L003
AT00360,S0128,2024-11-17,Absent,Afternoon,L001
AT00361,S0484,2024-12-19,Leave,Night,L004
AT00362,S0040,2024-07-19,Absent,Night,L003
AT00363,S0377,2024-12-22,Present,Morning,L005
AT00364,S0261,2025-03-04,Leave,Night,L003
AT00365,S0353,2025-01-29,Sick,Morning,L003
AT00366,S0258,2025-01-13,Absent,Night,L002
AT00367,S0213,2024-06-27,Sick,Afternoon,L002
AT00368,S0190,2025-04-20,Leave,Afternoon,L002
AT00369,S0143,2024-09-28,Leave,Afternoon,L003
AT00370,S0283,2025-02-25,Leave,Morning,L002
AT00371,S0095,2025-04-15,Present,Morning,L002
AT00372,S0320,2025-04-17,Leave,Afternoon,L005
AT00373,S0064,2025-02-11,Leave,Afternoon,L001
AT00374,S0121,2025-03-25,Sick,Morning,L002
AT00375,S0019,2024-06-06,Present,Night,L002
AT00376,S0115,2024-06-17,Leave,Morning,L005
AT00377,S0385,2024-08-25,Leave,Afternoon,L002
AT00378,S0493,2024-06-25,Absent,Morning,L002
AT00379,S0283,2024-10-29,Absent,Afternoon,L003
AT00380,S0036,2024-11-24,Present,Night,L005
AT00381,S0203,2025-02-25,Absent,Afternoon,L002
AT00382,S0440,2024-11-12,Absent,Night,L005
AT00383,S0456,2025-02-13,Present,Night,L003
AT00384,S0247,2025-03-11,Leave,Morning,L001
AT00385,S0089,2025-04-27,Present,Night,L003
AT00386,S0214,2024-06-24,Present,Morning,L001
AT00387,S0251,2024-11-20,Present,Afternoon,L005
AT00388,S0296,2025-01-01,Leave,Morning,L004
AT00389,S0187,2024-10-23,Sick,Afternoon,L005
AT00390,S0491,2025-03-26,Absent,Afternoon,L004
AT00391,S0083,2025-03-06,Leave,Morning,L001
AT00392,S0091,2025-05-26,Sick,Afternoon,L003
AT00393,S0225,2024-06-12,Leave,Afternoon,L001
AT00394,S0098,2024-12-10,Absent,Afternoon,L002
AT00395,S0278,2024-10-07,Present,Afternoon,L002
AT00396,S0202,2025-01-19,Present,Morning,L004
AT00397,S0059,2024-08-16,Leave,Night,L005
AT00398,S0493,2024-08-16,Leave,Morning,L004
AT00399,S0430,2024-11-30,Leave,Night,L004
AT00400,S0461,2024-08-04,Sick,Morning,L003
AT00401,S0396,2024-11-04,Leave,Night,L003
AT00402,S0079,2024-06-17,Present,Night,L003
AT00403,S0070,2025-02-07,Absent,Night,L005
AT00404,S0399,2024-08-21,Leave,Afternoon,L001
AT00405,S0069,2025-03-30,Sick,Night,L003
AT00406,S0042,2024-05-29,Present,Afternoon,L003
AT00407,S0462,2024-08-14,Leave,Night,L004
AT00408,S0001,2024-08-16,Sick,Afternoon,L002
AT00409,S0409,2025-01-09,Absent,Morning,L002
AT00410,S0359,2024-08-01,Sick,Night,L005
AT00411,S0233,2025-04-15,Sick,Morning,L001
AT00412,S0035,2024-08-21,Present,Afternoon,L004
AT00413,S0166,2025-05-05,Leave,Morning,L002
AT00414,S0485,2024-09-03,Leave,Afternoon,L001
AT00415,S0284,2024-10-04,Absent,Morning,L002
AT00416,S0103,2025-01-07,Absent,Afternoon,L005
AT00417,S0203,2025-04-13,Leave,Night,L003
AT00418,S0395,2025-04-22,Leave,Afternoon,L004
AT00419,S0444,2024-06-07,Leave,Night,L001
AT00420,S0403,2025-02-21,Absent,Morning,L004
AT00421,S0042,2024-11-13,Leave,Night,L001
AT00422,S0061,2024-05-29,Absent,Morning,L005
AT00423,S0324,2024-08-12,Present,Morning,L003
AT00424,S0159,2024-08-13,Sick,Night,L002
AT00425,S0179,2025-05-01,Absent,Night,L004
AT00426,S0034,2025-05-13,Sick,Morning,L004
AT00427,S0215,2025-04-03,Absent,Afternoon,L001
AT00428,S0088,2025-01-11,Leave,Morning,L005
AT00429,S0221,2024-07-09,Absent,Night,L002
AT00430,S0235,2025-05-07,Sick,Morning,L005
AT00431,S0233,2025-03-06,Present,Morning,L004
AT00432,S0147,2025-05-13,Sick,Afternoon,L003
AT00433,S0487,2025-02-06,Sick,Morning,L001
AT00434,S0388,2025-01-11,Present,Afternoon,L004
AT00435,S0120,2025-01-14,Sick,Night,L003
AT00436,S0390,2024-07-20,Absent,Morning,L005
AT00437,S0459,2025-05-20,Sick,Night,L002
AT00438,S0225,2024-10-01,Present,Night,L003
AT00439,S0123,2024-08-01,Absent,Night,L005
AT00440,S0348,2025-04-21,Sick,Afternoon,L002
AT00441,S0154,2024-08-11,Sick,Night,L002
AT00442,S0255,2024-10-12,Absent,Afternoon,L001
AT00443,S0409,2025-03-07,Sick,Afternoon,L005
AT00444,S0138,2025-03-30,Sick,Night,L003
AT00445,S0179,2024-10-04,Sick,Morning,L005
AT00446,S0343,2025-03-31,Sick,Afternoon,L001
AT00447,S0404,2025-03-07,Leave,Night,L001
AT00448,S0345,2024-06-26,Sick,Night,L005
AT00449,S0011,2024-08-20,Leave,Night,L004
AT00450,S0087,2024-10-27,Sick,Afternoon,L003
AT00451,S0019,2024-10-11,Absent,Afternoon,L004
AT00452,S0127,2025-05-01,Absent,Morning,L005
AT00453,S0128,2024-09-05,Present,Morning,L004
AT00454,S0267,2025-01-01,Leave,Morning,L005
AT00455,S0198,2024-06-13,Leave,Night,L003
AT00456,S0401,2025-03-06,Sick,Night,L003
AT00457,S0435,2025-03-09,Leave,Afternoon,L005
AT00458,S0142,2025-02-22,Absent,Morning,L004
AT00459,S0229,2025-04-05,Sick,Morning,L001
AT00460,S0046,2025-01-01,Sick,Night,L002
AT00461,S0060,2025-01-04,Absent,Afternoon,L004
AT00462,S0217,2025-03-03,Present,Afternoon,L001
AT00463,S0268,2025-02-07,Sick,Night,L005
AT00464,S0030,2025-03-08,Absent,Night,L005
AT00465,S0147,2024-05-28,Sick,Night,L004
AT00466,S0238,2025-05-11,Absent,Night,L003
AT00467,S0427,2024-10-01,Absent,Afternoon,L001
AT00468,S0351,2025-03-01,Leave,Morning,L004
AT00469,S0330,2025-03-12,Absent,Afternoon,L002
AT00470,S0184,2024-08-30,Present,Afternoon,L005
AT00471,S0419,2024-09-11,Leave,Afternoon,L003
AT00472,S0108,2024-09-26,Leave,Afternoon,L005
AT00473,S0475,2024-06-23,Sick,Morning,L002
AT00474,S0060,2024-12-29,Sick,Night,L003
AT00475,S0113,2025-05-01,Absent,Night,L002
AT00476,S0008,2024-11-10,Present,Morning,L001
AT00477,S0213,2024-11-10,Present,Night,L005
AT00478,S0489,2024-08-16,Sick,Morning,L005
AT00479,S0115,2024-06-02,Leave,Afternoon,L001
AT00480,S0056,2025-02-16,Leave,Morning,L001
AT00481,S0373,2025-03-31,Sick,Morning,L004
AT00482,S0097,2024-06-22,Absent,Night,L001
AT00483,S0090,2024-12-15,Leave,Morning,L003
AT00484,S0247,2025-03-31,Absent,Afternoon,L004
AT00485,S0019,2024-06-18,Leave,Morning,L002
AT00486,S0499,2025-03-08,Sick,Morning,L005
AT00487,S0155,2025-01-02,Sick,Night,L005
AT00488,S0395,2024-07-04,Absent,Morning,L005
AT00489,S0433,2024-11-07,Sick,Night,L001
AT00490,S0406,2025-05-12,Sick,Afternoon,L001
AT00491,S0189,2025-05-22,Present,Morning,L001
AT00492,S0366,2025-02-06,Sick,Night,L004
AT00493,S0458,2025-01-20,Leave,Morning,L004
AT00494,S0218,2024-07-02,Absent,Afternoon,L004
AT00495,S0308,2025-02-16,Absent,Afternoon,L003
AT00496,S0354,2025-04-18,Absent,Night,L003
AT00497,S0400,2025-01-23,Present,Morning,L005
AT00498,S0445,2024-07-29,Leave,Afternoon,L002
AT00499,S0219,2025-04-28,Leave,Morning,L002
AT00500,S0396,2024-12-07,Present,Night,L002
AT00501,S0426,2024-10-17,Leave,Morning,L004
AT00502,S0235,2024-12-25,Present,Morning,L004
AT00503,S0391,2024-08-03,Absent,Afternoon,L005
AT00504,S0218,2024-10-01,Present,Night,L003
AT00505,S0484,2024-12-11,Sick,Night,L004
AT00506,S0496,2025-03-24,Absent,Afternoon,L001
AT00507,S0365,2024-08-02,Sick,Morning,L004
AT00508,S0210,2024-09-28,Absent,Morning,L002
AT00509,S0269,2024-12-17,Sick,Morning,L004
AT00510,S0021,2025-01-05,Leave,Afternoon,L002
AT00511,S0254,2025-03-01,Leave,Morning,L004
AT00512,S0077,2025-05-22,Leave,Morning,L005
AT00513,S0062,2024-06-20,Sick,Morning,L003
AT00514,S0493,2024-05-26,Sick,Morning,L005
AT00515,S0278,2024-11-28,Present,Morning,L001
